title,price,region,city,rooms,area_m2,floor,total_floors,year,price_per_m2,floor_ratio,apartment_age,price_category,size_category,district
2-комнатная квартира · 45 м² · 2/4 этаж,23000000,бейбітшілік,шымкент,2,45.0,2,4,1962,511111.1111111111,0.5,64,mid,medium,unknown
3-комнатная квартира · 55 м² · 8/9 этаж,24000000,"сарыарка р-н, женыс",астана,3,55.0,8,9,1969,436363.63636363635,0.8888888888888888,57,mid,medium,сарыарка р-н
2-комнатная квартира · 44 м² · 13/14 этаж,29900000,"нура р-н, е-429 14",астана,2,44.0,13,14,2025,679545.4545454546,0.9285714285714286,1,mid,medium,нура р-н
2-комнатная квартира · 44.9 м² · 6/9 этаж,31480000,"есильский р-н, e511 25",астана,2,44.9,6,9,2026,701113.5857461025,0.6666666666666666,0,high,medium,есильский р-н
3-комнатная квартира · 68 м² · 5/5 этаж,23000000,жибек жолы 56,шымкент,3,68.0,5,5,1991,338235.29411764705,1.0,35,mid,medium,unknown
4-комнатная квартира · 140.1 м² · 3/5 этаж,71000000,мкр. алтын орда 23а,актобе,4,140.1,3,5,2021,506780.87080656673,0.6,5,luxury,very_large,unknown
1-комнатная квартира · 40.6 м² · 6/10 этаж,26500000,"нура р-н, казыбек би 3",астана,1,40.6,6,10,2022,652709.3596059113,0.6,4,mid,medium,нура р-н
1-комнатная квартира · 40 м² · 8/14 этаж,25000000,"есильский р-н, ул. абикен бектуров, 17 17 — allure,aster,chevrolet",астана,1,40.0,8,14,2021,625000.0,0.5714285714285714,5,mid,small,есильский р-н
2-комнатная квартира · 40.8 м² · 8/8 этаж,23000000,"казыбек би р-н, муканова 51",караганда,2,40.8,8,8,2025,563725.4901960784,1.0,1,mid,medium,казыбек би р-н
2-комнатная квартира · 64.9 м² · 7/9 этаж,30500000,"алматы р-н, каршыга ахмедьярова 3 — жургенова",астана,2,64.9,7,9,2022,469953.77503852075,0.7777777777777778,4,high,medium,алматы р-н
3-комнатная квартира · 96 м² · 1/5 этаж,35000000,"каратауский р-н, мкр нурсат 2, мкр нурсат 108",шымкент,3,96.0,1,5,2008,364583.3333333333,0.2,18,high,large,каратауский р-н
1-комнатная квартира · 45.2 м² · 5/9 этаж,25900000,"алматы р-н, таскескен 17 б",астана,1,45.2,5,9,2021,573008.8495575221,0.5555555555555556,5,mid,medium,алматы р-н
2-комнатная квартира · 59.7 м² · 4/5 этаж,23000000,"сарыарка р-н, куляш байсеитовой 8",астана,2,59.7,4,5,2007,385259.63149078726,0.8,19,mid,medium,сарыарка р-н
4-комнатная квартира · 74.8 м² · 5/5 этаж,52000000,"бостандыкский р-н, мкр алмагуль — возле  бостандыкского  цона",алматы,4,74.8,5,5,1980,695187.165775401,1.0,46,high,large,бостандыкский р-н
2-комнатная квартира · 69.5 м² · 1/3 этаж,30000000,"жетысуский р-н, мкр дорожник 26",алматы,2,69.5,1,3,1976,431654.6762589928,0.3333333333333333,50,mid,medium,жетысуский р-н
3-комнатная квартира · 66.6 м² · 4/21 этаж,46000000,"нура р-н, ш. айтматова 53 — шоссе коргалжын",астана,3,66.6,4,21,2021,690690.6906906908,0.19047619047619047,5,high,medium,нура р-н
1-комнатная квартира · 40 м² · 7/9 этаж,26500000,"алатауский р-н, райымбека — апорт трц пр алатау",алматы,1,40.0,7,9,2023,662500.0,0.7777777777777778,3,mid,small,алатауский р-н
2-комнатная квартира · 39 м² · 11/12 этаж,38500000,"есильский р-н, улица жошы хан 14/1",астана,2,39.0,11,12,2025,987179.4871794871,0.9166666666666666,1,high,small,есильский р-н
2-комнатная квартира · 54.9 м² · 3/12 этаж,30000000,"алатауский р-н, мкр алгабас, омарова 5",алматы,2,54.9,3,12,2024,546448.087431694,0.25,2,mid,medium,алатауский р-н
1-комнатная квартира · 16.3 м² · 2/2 этаж,7500000,"алматы р-н, каратал 15/1 — ул.балкантау,ул.айнаколь",астана,1,16.3,2,2,2007,460122.699386503,1.0,19,budget,small,алматы р-н
2-комнатная квартира · 61 м² · 1/5 этаж,28800000,"алатауский р-н, мкр 20-й, мкр 20-й 65",алматы,2,61.0,1,5,2026,472131.1475409836,0.2,0,mid,medium,алатауский р-н
2-комнатная квартира · 55.14 м² · 1/3 этаж,55000000,"бостандыкский р-н, жаксылык ушкемпиров",алматы,2,55.14,1,3,2026,997461.0083424011,0.3333333333333333,0,high,medium,бостандыкский р-н
1-комнатная квартира · 41 м² · 2/5 этаж,38500000,"бостандыкский р-н, жарокова — ул.тимерязева",алматы,1,41.0,2,5,1992,939024.3902439025,0.4,34,high,medium,бостандыкский р-н
