id,title,price,region,city,rooms,area_m2,floor,total_floors,year
1011681422,3-комнатная квартира · 100 м² · 4/5 этаж,35 000 000〒,"мкр. Алтын орда, Молдагулова",Актобе,3,100.0,4.0,5.0,2014.0
1011681452,1-комнатная квартира · 40 м² · 2/5 этаж,17 300 000〒,"мкр. Алтын орда, мангилик ел 16",Актобе,1,40.0,2.0,5.0,2018.0
1010930945,3-комнатная квартира · 104 м² · 9/17 этаж,98 500 000〒,"Нура р-н, Толе би 54/1 — Кунаева-Достык",Астана,3,104.0,9.0,17.0,2024.0
1006216365,1-комнатная квартира · 31 м² · 3/5 этаж,10 000 000〒,Анаркулова,Жезказган,1,31.0,3.0,5.0,1969.0
1010836893,1-комнатная квартира · 47 м² · 11/14 этаж,29 999 888〒,"Алатауский р-н, мкр Нуркент 5/15",Алматы,1,47.0,11.0,14.0,2017.0
1008974511,1-комнатная квартира · 42 м² · 7/9 этаж,10 000 000〒,мкр Береке,Атырау,1,42.0,7.0,9.0,2020.0
1011473123,3-комнатная квартира · 80 м² · 1/9 этаж,55 000 000〒,"Есильский р-н, Е 652 — Манглылык Ел - Кабаньай Батыра",Астана,3,80.0,1.0,9.0,2024.0
1006311008,3-комнатная квартира · 80.6 м² · 2/9 этаж,28 000 000〒,"мкр. Зачаганск пгт, Монкеулы 77",Уральск,3,80.6,2.0,9.0,2016.0
1008773430,2-комнатная квартира · 72 м² · 4/9 этаж,35 000 000〒,"мкр. Алтын орда, Алтын орда 340б/1 — Мангилик ел",Актобе,2,72.0,4.0,9.0,2022.0
1008214883,2-комнатная квартира · 46 м² · 2/10 этаж,30 000 000〒,"Наурызбайский р-н, мкр Шугыла, Жунисова 4/5",Алматы,2,46.0,2.0,10.0,2019.0
1011263607,1-комнатная квартира · 50 м² · 8/9 этаж,21 500 000〒,"Казыбек би р-н, мкр Юго-Восток, Таттимбета 40, 40/1, 41, 42",Караганда,1,50.0,8.0,9.0,2026.0
685631737,4-комнатная квартира · 72 м² · 1/5 этаж,33 000 000〒,"Аль-Фарабийский р-н, 18-й микрорайон, 18-й микрорайон",Шымкент,4,72.0,1.0,5.0,1980.0
1010169728,3-комнатная квартира · 97 м² · 7/7 этаж,40 000 000〒,Атшабар 17/1 — Толе би,Тараз,3,97.0,7.0,7.0,2015.0
762211742,3-комнатная квартира · 70 м² · 2/5 этаж,20 000 000〒,Поповича 30,Глубокое,3,70.0,2.0,5.0,1981.0
1011263266,2-комнатная квартира · 46.6 м² · 13/13 этаж,58 250 000〒,Кармысова 84/2 — Теренкур,Алматы,2,46.6,13.0,13.0,2022.0
1011463120,2-комнатная квартира · 45 м² · 5/5 этаж,13 000 000〒,Қарахана 2 — Кафе Стамбул. Центральный  Площадь...,Тараз,2,45.0,5.0,5.0,1971.0
1011681443,1-комнатная квартира · 36 м²,12 000 000〒,3-й мкр 24,Актау,1,36.0,,,2014.0
1011681428,3-комнатная квартира · 127 м² · 2/9 этаж,78 000 000〒,И. Сьянова 65,Костанай,3,127.0,2.0,9.0,2021.0
1001310912,2-комнатная квартира · 40 м² · 12/12 этаж,29 000 000〒,"Есильский р-н, Кабанбай батыра 59Б",Астана,2,40.0,12.0,12.0,2023.0
1007735991,1-комнатная квартира · 50 м² · 3/15 этаж,50 000 000〒,Рыскулова 33,Шымкент,1,50.0,3.0,15.0,2025.0
1008046382,2-комнатная квартира · 57.3 м² · 3/6 этаж,53 000 000〒,"Наурызбайский р-н, Илтипат 49 — Абая-Яссауи",Алматы,2,57.3,3.0,6.0,2025.0
1006178588,1-комнатная квартира · 38 м² · 5/5 этаж,29 000 000〒,"Ауэзовский р-н, мкр Тепличный 12/1 — Сайна жандосова",Алматы,1,38.0,5.0,5.0,1992.0
1009956241,3-комнатная квартира · 96.3 м² · 8/12 этаж,44 000 000〒,"Сарыарка р-н, Бейбарыс Султан 23",Астана,3,96.3,8.0,12.0,2020.0
1011681161,3-комнатная квартира · 98 м² · 4/13 этаж,44 000 000〒,"Нура р-н, Максут Нарикбаев 6а",Астана,3,98.0,4.0,13.0,2023.0
761547418,3-комнатная квартира · 120 м² · 2/5 этаж,49 000 000〒,сарайшык 27 — сарайшык,Уральск,3,120.0,2.0,5.0,2016.0
1011681139,4-комнатная квартира · 146 м² · 5/16 этаж,200 000 000〒,"Есильский р-н, Достык 8/5",Астана,4,146.0,5.0,16.0,2025.0
1011263613,1-комнатная квартира · 42 м² · 11/16 этаж,30 000 000〒,"Ауэзовский р-н, 1-й микрорайон 26а — Алтынсарина Улыгбека",Алматы,1,42.0,11.0,16.0,2010.0
1011263267,3-комнатная квартира · 54.4 м²,10 000 000〒,Бирюзова 5 27,Шахтинск,3,54.4,,,1964.0
1011050490,2-комнатная квартира · 67 м² · 7/9 этаж,38 000 000〒,"Алатауский р-н, мкр Нуркент 63 — Рыскулова- Момышулы",Алматы,2,67.0,7.0,9.0,2018.0
1008616506,3-комнатная квартира · 137 м² · 2/14 этаж,99 600 000〒,"Бостандыкский р-н, Хусаинова 225 — Ескараева",Алматы,3,137.0,2.0,14.0,2010.0
1008616113,2-комнатная квартира · 45 м² · 1/5 этаж,7 500 000〒,Пр. Незовисимости 49,Сатпаев,2,45.0,1.0,5.0,1977.0
